count,date
3712,2017-05-01
3684,2017-05-02
3646,2017-05-03
3306,2017-05-04
2517,2017-05-05
2607,2017-05-06
3458,2017-05-07
4018,2017-05-08
4610,2017-05-09
4457,2017-05-10
3969,2017-05-11
3212,2017-05-12
3255,2017-05-13
3554,2017-05-14
3908,2017-05-15
3784,2017-05-16
3347,2017-05-17
2472,2017-05-18
2893,2017-05-19
3240,2017-05-20
3705,2017-05-21
4111,2017-05-22
3678,2017-05-23
3216,2017-05-24
2862,2017-05-25
2681,2017-05-26
2487,2017-05-27
3068,2017-05-28
3419,2017-05-29
3650,2017-05-30
3516,2017-05-31
