campaign,num_installs
Search,36343
US_Android_AppInstall_626736721594,7137
US_iOS_AppInstall_626736745865,6120
US_iOS_170419,5392
CA_Android_AppInstall_626737633194,5243
CA_iOS_AppInstall_626736745866,3997
DE_Android_170508,3841
SE_Android_170508,3570
US_Android_170508,3201
US_iOS_170426,3155
AU_iOS_AppInstall_626737552315,2524
NO_Android_170508,2417
GB_iOS_AppInstall_626736745864,2346
GB_iOS_170425,2095
RU_iOS_170301,1963
RU_iOS_170509_AppEventOpt,1781
GB_Android_AppInstall_626737633193,1559
NO_iOS_170501,1473
SE_iOS_170427,1453
RU_Android_170519,1376
FR_iOS_170425,1171
AU_iOS_170425,972
CH_Android_170515,887
FR_iOS_170509,825
US_iOS_170418_AppEventOpt,817
DK_Android_170509,723
SE_iOS_170420_AppEventOpt,369
FR_Android_170530,317
NZ_iOS_AppInstall_626737552314,273
SE_iOS_170401,242
FR_iOS_170529,204
AU_Android_170515,193
NZ_Android_AppInstall_626737564399,185
CH_Android_170519_french,183
GB_Android_170515,154
DK_iOS_170501,153
NO_iOS_170420_AppEventOpt,141
DK_iOS_170427_AppEventOpt,132
US_iOS_170519_AppEventOpt,131
DE_iOS_170425,123
DK_iOS_170420_AppEventOpt,93
CH_iOS_170425,87
NZ_iOS_170425,86
AU_iOS_170426,84
US_Android_Pint_AppInstall_626736721594,68
NO_iOS_170301,66
DK_iOS_170401,63
US_iOS_Pint_AppInstall_626736745865,60
US_iOS_170529_AppEventOpt,56
NO_iOS_170401,43
NO_iOS_170601,32
CA_Android_Pint_AppInstall_626737633194,30
SE_iOS_170601,24
DK_iOS_170601,23
CA_iOS_Pint_AppInstall_626736745866,9
GB_iOS_Pint_AppInstall_626736745864,8
US_iOS_KW_Weightloss_January Sugar_626736658564,3
CA_iOS_170420_AppEventOpt,3
US_iOS_KW_Heathy Recipes_Toast_626736614388,2
AU_iOS_Pint_AppInstall_626737552315,2
GB_iOS_Install_KW_Weightloss_January Sugar_626736658568,2
FR_iOS_170420_AppEventOpt,2
GB_iOS_KW_Health Fitness_January Water_626736658581,2
US_iOS_KW_Healthy Recipes_January Salad_626736658546,2
GB_iOS_Install_KW_Healthy Recipes_January Vegetarian_626736658562,1
IE_iOS_AppInstall_626737592454,1
US_iOS_Install_KW_Health Fitness_January Water_626736658551,1
US_iOS_KW_Weightloss_Broccoli_626736725519,1
US_iOS_Install_KW_Healthy Recipes_January Salad_626736658570,1
GB_iOS_KW_Health Fitness_Plans Black_626736561766,1
US_iOS_KW_Healthy Recipes_SmoothieBowls_626736725518,1
GB_iOS_KW_Health Fitness_LowCarb_626736614390,1
GB_iOS_KW_Weightloss_ Plans Pink Burger_626736561789,1
US_iOS_Install_KW_Weightloss_January Sugar_626736658540,1
CA_iOS_Int_Health Fitness_KetoDietNew_626736710139,1
