campaign,cac
DK_iOS_170401,2426.59
SE_iOS_170401,2181.32
NO_iOS_170401,2116.06
US_iOS_170519_AppEventOpt,1658.12
NO_iOS_170420_AppEventOpt,1514.39
DK_iOS_170427_AppEventOpt,1182.27
DK_iOS_170501,1156.0
RU_iOS_170301,1135.5
CH_iOS_170425,1116.57
DE_iOS_170425,1075.67
SE_iOS_170427,1037.83
US_iOS_170418_AppEventOpt,1000.73
SE_iOS_170420_AppEventOpt,954.67
NO_iOS_170501,938.62
US_iOS_170529_AppEventOpt,882.34
US_iOS_170426,862.68
FR_iOS_170509,831.23
DK_iOS_170420_AppEventOpt,819.26
AU_iOS_170426,757.73
RU_iOS_170509_AppEventOpt,745.67
RU_Android_170519,726.91
DK_Android_170509,673.46
FR_iOS_170425,651.35
NO_Android_170508,640.52
Search,638.58
CH_Android_170515,567.13
SE_Android_170508,534.46
CH_Android_170519_french,532.72
US_Android_170508,524.43
AU_Android_170515,521.71
NO_iOS_170601,501.1
GB_Android_170515,435.08
FR_Android_170530,422.47
DE_Android_170508,385.57
FR_iOS_170529,324.88
