campaign,num_subs
Search,536
US_Android_AppInstall_626736721594,238
US_iOS_AppInstall_626736745865,235
CA_Android_AppInstall_626737633194,172
CA_iOS_AppInstall_626736745866,130
NO_Android_170508,121
US_Android_170508,104
US_iOS_170419,100
SE_Android_170508,99
US_iOS_170426,99
DE_Android_170508,96
GB_iOS_AppInstall_626736745864,91
AU_iOS_AppInstall_626737552315,83
NO_iOS_170501,83
US_iOS_170418_AppEventOpt,57
GB_Android_AppInstall_626737633193,55
GB_iOS_170425,44
SE_iOS_170427,39
FR_iOS_170425,36
CH_Android_170515,28
AU_iOS_170425,28
RU_iOS_170509_AppEventOpt,26
RU_iOS_170301,24
SE_iOS_170420_AppEventOpt,21
DK_Android_170509,11
FR_iOS_170529,10
NZ_iOS_AppInstall_626737552314,8
AU_Android_170515,7
US_iOS_170519_AppEventOpt,7
FR_iOS_170509,6
GB_Android_170515,6
NO_iOS_170420_AppEventOpt,5
DK_iOS_170427_AppEventOpt,5
DK_iOS_170420_AppEventOpt,4
US_iOS_170529_AppEventOpt,4
RU_Android_170519,4
CH_Android_170519_french,4
SE_iOS_170401,4
AU_iOS_170426,4
FR_Android_170530,3
US_iOS_Pint_AppInstall_626736745865,3
NO_iOS_170601,3
NZ_iOS_170425,3
DK_iOS_170501,3
NZ_Android_AppInstall_626737564399,2
CH_iOS_170425,2
DE_iOS_170425,2
CA_iOS_Pint_AppInstall_626736745866,2
CA_Android_Pint_AppInstall_626737633194,2
US_iOS_Install_KW_Healthy Recipes_January Salad_626736658570,1
DK_iOS_170401,1
NO_iOS_170401,1
US_Android_Pint_AppInstall_626736721594,1
CA_iOS_170420_AppEventOpt,1
