campaign,roi
DK_Android_170509,1.06
RU_Android_170519,0.91
FR_Android_170530,0.55
CH_Android_170519_french,0.37
NO_iOS_170401,0.34
AU_iOS_170426,0.23
DE_iOS_170425,0.19
GB_Android_170515,0.14
NO_iOS_170420_AppEventOpt,0.14
DK_iOS_170501,0.08
DK_iOS_170401,-0.14
DK_iOS_170427_AppEventOpt,-0.17
US_iOS_170519_AppEventOpt,-0.19
SE_iOS_170420_AppEventOpt,-0.2
NO_iOS_170601,-0.25
RU_iOS_170301,-0.29
CH_Android_170515,-0.3
US_iOS_170529_AppEventOpt,-0.32
AU_Android_170515,-0.36
RU_iOS_170509_AppEventOpt,-0.38
FR_iOS_170425,-0.41
SE_iOS_170401,-0.44
CH_iOS_170425,-0.46
FR_iOS_170509,-0.46
DK_iOS_170420_AppEventOpt,-0.5
FR_iOS_170529,-0.53
SE_iOS_170427,-0.56
SE_Android_170508,-0.59
US_Android_170508,-0.63
NO_iOS_170501,-0.63
US_iOS_170426,-0.64
DE_Android_170508,-0.69
NO_Android_170508,-0.71
US_iOS_170418_AppEventOpt,-0.73
